District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
CA-50,Darrell Issa,(R),"166,841","195,430","370,789",45.00%,52.70%
CA-51,Juan Vargas,(D),"166,351","76,843","248,810",66.90%,30.90%
CA-52,Scott Peters,(D),"257,923","139,172","406,904",63.40%,34.20%
CA-53,Sara Jacobs,(D),"258,866","119,398","386,642",67.00%,30.90%
CO-01,Diana DeGette,(D),"357,849","104,539","473,503",75.60%,22.10%
CO-02,Joe Neguse,(D),"338,261","178,561","530,867",63.70%,33.60%
CO-03,Lauren Boebert,(R),"200,886","224,996","436,221",46.10%,51.60%
CO-04,Ken Buck,(R),"198,971","276,309","487,928",40.80%,56.60%
CO-05,Doug Lamborn,(R),"184,301","241,369","441,370",41.80%,54.70%
CO-06,Jason Crow,(D),"260,642","175,729","447,756",58.20%,39.20%
CO-07,Ed Perlmutter,(D),"263,442","163,104","439,307",60.00%,37.10%
CT-01,John Larson,(D),"229,220","127,803","362,392",63.30%,35.30%
CT-02,Joe Courtney,(D),"205,779","164,461","377,818",54.50%,43.50%
CT-03,Rosa DeLauro,(D),"212,317","137,580","354,399",59.90%,38.80%
CT-04,Jim Himes,(D),"237,245","127,566","369,791",64.20%,34.50%
CT-05,Jahana Hayes,(D),"196,119","157,881","359,336",54.60%,43.90%
DE-AL,Lisa Blunt Rochester,(D),"296,268","200,603","504,010",58.80%,39.80%
FL-01,Matt Gaetz,(R),"143,654","292,019","443,097",32.40%,65.90%
FL-02,Neal Dunn,(R),"125,746","263,499","393,088",32.00%,67.00%
FL-03,Kat Cammack,(R),"170,433","223,087","398,282",42.80%,56.00%
FL-04,John Rutherford,(R),"198,414","305,935","510,715",38.90%,59.90%
FL-05,Al Lawson,(D),"214,891","123,978","342,746",62.70%,36.20%
FL-06,Michael Waltz,(R),"184,607","263,644","452,468",40.80%,58.30%
FL-07,Stephanie Murphy,(D),"226,505","183,414","414,920",54.60%,44.20%
FL-08,Bill Posey,(R),"189,808","272,109","467,055",40.60%,58.30%
FL-09,Darren Soto,(D),"232,318","201,924","438,440",53.00%,46.10%
FL-10,Val Demings,(D),"236,868","141,377","381,930",62.00%,37.00%
FL-11,Daniel Webster,(R),"164,285","318,054","485,989",33.80%,65.40%
FL-12,Gus Bilirakis,(R),"188,631","266,291","459,697",41.00%,57.90%
FL-13,[VACANT],(D),"211,530","194,721","410,780",51.50%,47.40%
FL-14,Kathy Castor,(D),"217,176","158,027","379,538",57.20%,41.60%
FL-15,Scott Franklin,(R),"179,793","213,736","398,200",45.20%,53.70%
FL-16,Vern Buchanan,(R),"223,366","262,840","490,589",45.50%,53.60%
FL-17,Greg Steube,(R),"151,888","267,579","422,675",35.90%,63.30%
FL-18,Brian Mast,(R),"206,388","244,705","454,097",45.50%,53.90%
FL-19,Byron Donalds,(R),"180,723","272,764","456,659",39.60%,59.70%
FL-20,Sheila Cherfilus-McCormick,(D),"254,644","72,814","329,313",77.30%,22.10%
FL-21,Lois Frankel,(D),"239,322","169,556","411,406",58.20%,41.20%
FL-22,[VACANT],(D),"236,393","174,889","413,647",57.10%,42.30%
FL-23,Debbie Wasserman Schultz,(D),"227,941","161,030","391,205",58.30%,41.20%
FL-24,Frederica Wilson,(D),"225,289","71,621","298,628",75.40%,24.00%
FL-25,Mario Díaz-Balart,(R),"123,435","197,678","322,843",38.20%,61.20%
FL-26,Carlos Giménez,(R),"164,356","184,019","350,423",46.90%,52.50%
FL-27,Maria Elvira Salazar,(R),"178,643","167,420","347,972",51.30%,48.10%
GA-01,Buddy Carter,(R),"143,567","184,846","332,905",43.10%,55.50%
GA-02,Sanford Bishop,(D),"154,980","120,719","278,056",55.70%,43.40%
GA-03,Drew Ferguson,(R),"140,226","235,998","380,895",36.80%,62.00%
GA-04,Hank Johnson,(D),"281,735","72,392","357,719",78.80%,20.20%
GA-05,Nikema Williams,(D),"313,058","45,921","363,156",86.20%,12.60%
GA-06,Lucy McBath,(D),"219,611","175,110","400,936",54.80%,43.70%
GA-07,Carolyn Bourdeaux,(D),"199,144","175,210","379,758",52.40%,46.10%
GA-08,Austin Scott,(R),"116,914","195,867","316,121",37.00%,62.00%
GA-09,Andrew Clyde,(R),"85,481","291,992","382,279",22.40%,76.40%
GA-10,Jody Hice,(R),"151,656","230,789","387,273",39.20%,59.60%
GA-11,Barry Loudermilk,(R),"171,653","234,930","413,230",41.50%,56.90%
GA-12,Rick Allen,(R),"136,638","177,142","317,584",43.00%,55.80%
GA-13,David Scott,(D),"277,999","85,930","367,810",75.60%,23.40%
GA-14,Marjorie Greene,(R),"80,973","235,008","319,995",25.30%,73.40%
HI-01,Ed Case,(D),"179,337","96,924","280,956",63.80%,34.50%
HI-02,Kai Kahele,(D),"186,793","99,940","293,513",63.60%,34.00%
IA-01,Ashley Hinson,(R),"199,259","213,601","420,577",47.40%,50.80%
IA-02,Mariannette Miller-Meeks,(R),"193,437","209,858","410,665",47.10%,51.10%
IA-03,Cindy Axne,(D),"224,159","224,726","457,240",49.00%,49.10%
IA-04,Randy Feenstra,(R),"142,206","249,487","398,052",35.70%,62.70%
ID-01,Russ Fulcher,(R),"140,452","313,559","467,141",30.10%,67.10%
ID-02,Mike Simpson,(R),"146,569","240,560","400,220",36.60%,60.10%
IL-01,Bobby Rush,(D),"246,996","82,547","334,163",73.90%,24.70%
IL-02,Robin Kelly,(D),"236,646","64,866","305,536",77.50%,21.20%
IL-03,Marie Newman,(D),"175,910","135,879","316,987",55.50%,42.90%
IL-04,Chuy Garcia,(D),"184,635","39,582","228,702",80.70%,17.30%
IL-05,Mike Quigley,(D),"267,640","96,630","371,134",72.10%,26.00%
IL-06,Sean Casten,(D),"226,804","174,833","410,398",55.30%,42.60%
IL-07,Danny Davis,(D),"274,302","38,441","317,704",86.30%,12.10%
IL-08,Raja Krishnamoorthi,(D),"171,850","113,157","290,456",59.20%,39.00%
IL-09,Jan Schakowsky,(D),"269,573","104,091","379,942",71.00%,27.40%
IL-10,Brad Schneider,(D),"207,380","109,734","322,791",64.20%,34.00%
IL-11,Bill Foster,(D),"195,556","114,240","316,000",61.90%,36.20%
IL-12,Mike Bost,(R),"137,911","184,811","329,203",41.90%,56.10%
IL-13,Rodney Davis,(R),"158,853","170,549","337,716",47.00%,50.50%
IL-14,Lauren Underwood,(D),"203,738","193,886","406,028",50.20%,47.80%
IL-15,Mary Miller,(R),"88,678","246,921","341,922",25.90%,72.20%
IL-16,Adam Kinzinger,(R),"140,938","196,244","344,643",40.90%,56.90%
IL-17,Cheri Bustos,(D),"145,977","150,775","303,222",48.10%,49.70%
IL-18,Darin LaHood,(R),"138,526","229,704","376,890",36.80%,60.90%
IN-01,Frank Mrvan,(D),"177,630","148,554","331,492",53.60%,44.80%
IN-02,[VACANT],(R),"116,794","178,385","300,581",38.90%,59.30%
IN-03,Jim Banks,(R),"112,346","211,169","330,719",34.00%,63.90%
IN-04,Jim Baird,(R),"117,232","220,013","345,009",34.00%,63.80%
IN-05,Victoria Spartz,(R),"200,376","209,669","418,387",47.90%,50.10%
IN-06,Greg Pence,(R),"96,502","228,217","331,541",29.10%,68.80%
