District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
SC-07,Tom Rice,(R),"146,768","214,709","365,085",40.20%,58.80%
SD-AL,Dusty Johnson,(R),"150,471","261,043","422,609",35.60%,61.80%
TN-01,Diana Harshbarger,(R),"70,463","242,686","318,556",22.10%,76.20%
TN-02,Tim Burchett,(R),"124,229","228,990","360,121",34.50%,63.60%
TN-03,Chuck Fleischmann,(R),"110,460","219,247","335,599",32.90%,65.30%
TN-04,Scott DesJarlais,(R),"108,734","239,401","354,562",30.70%,67.50%
TN-05,Jim Cooper,(D),"210,086","127,953","348,420",60.30%,36.70%
TN-06,John Rose,(R),"96,446","273,924","376,800",25.60%,72.70%
TN-07,Mark Green,(R),"115,166","245,882","367,606",31.30%,66.90%
TN-08,David Kustoff,(R),"114,528","225,471","344,842",33.20%,65.40%
TN-09,Steve Cohen,(D),"193,598","48,921","246,484",78.50%,19.80%
TX-01,Louie Gohmert,(R),"83,229","218,700","305,555",27.20%,71.60%
TX-02,Dan Crenshaw,(R),"170,430","174,980","350,446",48.60%,49.90%
TX-03,Van Taylor,(R),"209,859","214,359","430,583",48.70%,49.80%
TX-04,Pat Fallon,(R),"84,680","258,470","347,229",24.40%,74.40%
TX-05,Lance Gooden,(R),"107,494","172,395","283,292",37.90%,60.90%
TX-06,Jake Ellzey,(R),"164,746","175,101","344,549",47.80%,50.80%
TX-07,Lizzie Fletcher,(D),"170,060","143,176","317,555",53.60%,45.10%
TX-08,Kevin Brady,(R),"109,291","274,224","388,622",28.10%,70.60%
TX-09,Al Green,(D),"178,908","54,944","236,216",75.70%,23.30%
TX-10,Michael McCaul,(R),"203,975","210,770","421,154",48.40%,50.00%
TX-11,August Pfluger,(R),"58,592","235,697","297,883",19.70%,79.10%
TX-12,Kay Granger,(R),"140,683","224,490","371,220",37.90%,60.50%
TX-13,Ronny Jackson,(R),"54,002","219,888","277,737",19.40%,79.20%
TX-14,Randy Weber,(R),"124,630","185,961","314,976",39.60%,59.00%
TX-15,Vicente González,(D),"119,784","115,315","237,674",50.40%,48.50%
TX-16,Veronica Escobar,(D),"160,809","77,473","242,067",66.40%,32.00%
TX-17,Pete Sessions,(R),"137,632","172,342","315,612",43.60%,54.60%
TX-18,Sheila Jackson Lee,(D),"189,823","57,669","250,836",75.70%,23.00%
TX-19,Jodey Arrington,(R),"71,237","195,515","270,656",26.30%,72.20%
TX-20,Joaquin Castro,(D),"177,058","96,537","277,918",63.70%,34.70%
TX-21,Chip Roy,(R),"220,567","232,945","460,677",47.90%,50.60%
TX-22,Troy Nehls,(R),"206,114","210,011","421,488",48.90%,49.80%
TX-23,Tony Gonzales,(R),"146,559","151,964","302,412",48.50%,50.30%
TX-24,Beth Van Duyne,(R),"180,609","161,671","347,697",51.90%,46.50%
TX-25,Roger Williams,(R),"177,852","216,265","400,230",44.40%,54.00%
TX-26,Michael Burgess,(R),"185,956","248,196","441,183",42.10%,56.30%
TX-27,Michael Cloud,(R),"104,511","170,800","278,915",37.50%,61.20%
TX-28,Henry Cuellar,(D),"125,755","115,160","243,744",51.60%,47.20%
TX-29,Sylvia Garcia,(D),"106,229","52,937","161,080",65.90%,32.90%
TX-30,Eddie Bernice Johnson,(D),"212,373","50,270","266,014",79.80%,18.90%
TX-31,John Carter,(R),"192,599","204,096","404,642",47.60%,50.40%
TX-32,Colin Allred,(D),"187,919","151,944","345,210",54.40%,44.00%
TX-33,Marc Veasey,(D),"117,340","41,209","160,757",73.00%,25.60%
TX-34,Mayra Flores,(D),"106,771","98,462","207,201",51.50%,47.50%
TX-35,Lloyd Doggett,(D),"188,169","84,811","277,929",67.70%,30.50%
TX-36,Brian Babin,(R),"82,881","221,600","308,153",26.90%,71.90%
UT-01,Blake Moore,(R),"113,343","230,314","358,818",31.60%,64.20%
UT-02,Chris Stewart,(R),"148,890","207,667","370,162",40.20%,56.10%
UT-03,John Curtis,(R),"131,845","225,830","374,671",35.20%,60.30%
UT-04,Burgess Owens,(R),"166,204","201,329","384,026",43.30%,52.40%
VA-01,Rob Wittman,(R),"213,535","233,398","453,853",47.00%,51.40%
VA-02,Elaine Luria,(D),"186,427","169,365","362,346",51.40%,46.70%
VA-03,Bobby Scott,(D),"233,646","108,728","347,932",67.20%,31.20%
VA-04,Donald McEachin,(D),"246,583","146,900","398,796",61.80%,36.80%
VA-05,Bob Good,(R),"183,175","217,535","405,973",45.10%,53.60%
VA-06,Ben Cline,(R),"149,254","231,248","386,961",38.60%,59.80%
VA-07,Abigail Spanberger,(D),"228,335","223,268","458,367",49.80%,48.70%
VA-08,Don Beyer,(D),"311,470","84,711","401,441",77.60%,21.10%
VA-09,Morgan Griffith,(R),"98,653","244,996","347,822",28.40%,70.40%
VA-10,Jennifer Wexton,(D),"281,817","189,376","478,159",58.90%,39.60%
VA-11,Gerry Connolly,(D),"280,673","112,905","399,109",70.30%,28.30%
VT-AL,Peter Welch,(D),"242,820","112,704","365,486",66.40%,30.80%
WA-01,Suzan DelBene,(D),"257,631","166,460","435,779",59.10%,38.20%
WA-02,Rick Larsen,(D),"257,291","145,138","414,020",62.10%,35.10%
WA-03,Jaime Herrera Beutler,(R),"198,429","214,391","423,462",46.90%,50.60%
WA-04,Dan Newhouse,(R),"122,691","179,022","309,502",39.60%,57.80%
WA-05,Cathy McMorris Rodgers,(R),"178,895","215,706","406,614",44.00%,53.00%
WA-06,Derek Kilmer,(D),"244,141","168,250","425,315",57.40%,39.60%
WA-07,Pramila Jayapal,(D),"410,067","58,832","478,306",85.70%,12.30%
WA-08,Kim Schrier,(D),"218,274","190,801","419,669",52.00%,45.50%
WA-09,Adam Smith,(D),"265,393","88,993","361,921",73.30%,24.60%
WA-10,Marilyn Strickland,(D),"216,800","157,058","385,791",56.20%,40.70%
WI-01,Bryan Steil,(R),"182,942","220,668","409,363",44.70%,53.90%
WI-02,Mark Pocan,(D),"323,807","136,439","466,777",69.40%,29.20%
WI-03,Ron Kind,(D),"184,306","202,659","393,809",46.80%,51.50%
WI-04,Gwen Moore,(D),"242,263","71,833","317,863",76.20%,22.60%
WI-05,Scott Fitzgerald,(R),"187,851","255,803","450,097",41.70%,56.80%
WI-06,Glenn Grothman,(R),"170,457","232,820","409,886",41.60%,56.80%
WI-07,Tom Tiffany,(R),"165,104","248,822","420,340",39.30%,59.20%
WI-08,Mike Gallagher,(R),"174,136","241,140","421,811",41.30%,57.20%
WV-01,David McKinley,(R),"81,849","183,904","270,510",30.30%,68.00%
WV-02,Alex Mooney,(R),"92,623","184,784","282,556",32.80%,65.40%
WV-03,Carol Miller,(R),"61,512","176,694","241,586",25.50%,73.10%
WY-AL,Liz Cheney,(R),"73,491","193,559","275,026",26.70%,70.40%
